Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
stagebalanced,N2b,2026,b11_mid_L5_k45,0.5179180112348803,10,0.739938080495356,0.7777777777777778,0.631578947368421,0.5,0.07534345146268606,0.08596491228070174,0.016103517923533543,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
stagebalanced,N2b,2026,b11_wide_L4_k60,0.6173676768574842,28,0.7988505747126436,0.753968253968254,0.896551724137931,0.9285714285714286,0.28767426586464834,0.4488989271597968,0.5247309018069676,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
stagebalanced,N2b,2026,b11_sample_01,0.570307999069295,12,0.6872082166199812,0.6444444444444445,0.8235294117647058,0.9333333333333333,0.3090933914804323,0.6415384615384615,0.5878656672612279,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
stagebalanced,N2b,2026,b11_sample_02,-0.048128959500991775,28,0.6204906204906204,0.6111111111111112,0.9523809523809523,1.0,0.26244144969118327,0.6029411764705882,0.5840224528116928,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
stagebalanced,N2b,2026,b11_sample_03,0.5456687564844065,6,0.7152777777777777,0.7055555555555556,0.8125,0.8666666666666667,0.0978744009679014,0.04692307692307692,0.10911867383165208,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
stagebalanced,N2b,2026,b11_sample_04,0.5844284837694674,15,0.7178451178451178,0.7111111111111111,0.8000000000000002,0.8,0.16331940990957347,0.5407692307692307,0.4066127009222938,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
stagebalanced,N2b,2026,b11_sample_05,-0.2353512662772737,5,0.19393939393939394,0.5,0.0,0.0,0.01555413007736206,0.17719298245614035,0.2692960616633622,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
stagebalanced,N2b,2026,b11_sample_06,-0.044696122573492925,31,0.6204906204906204,0.6111111111111112,0.9523809523809523,1.0,0.2045836686514891,0.5794117647058823,0.47687796349461253,b11_sample_06,6,20,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.2,0.02
stagebalanced,N2b,2026,b11_sample_07,0.5730451146927806,21,0.6911764705882352,0.6722222222222222,0.8235294117647058,0.9333333333333333,0.2754035539268939,0.653076923076923,0.6395115109867752,b11_sample_07,3,30,8,0.001,0.3,0.0001,"(32, 64)",16,0.5,0.2,0.02
stagebalanced,N2b,2026,b11_sample_08,-0.07826397123317402,17,0.6204906204906204,0.6111111111111112,0.9523809523809523,1.0,0.32849744936594594,0.36764705882352944,0.355957095497424,b11_sample_08,6,30,16,0.001,0.1,0.0001,"(32, 64)",32,0.5,0.1,0.05
stagebalanced,N2b,2026,b11_sample_09,0.2129442959780551,19,0.3950617283950617,0.3888888888888889,0.7407407407407408,0.8333333333333334,0.06571623450145125,0.531578947368421,0.5269070692884489,b11_sample_09,5,60,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.1,0.0
stagebalanced,N2b,2026,b11_sample_10,0.5955799281630784,32,0.7520525451559935,0.7666666666666666,0.8275862068965518,0.8,0.4843762899240987,0.7215384615384615,0.7087657062846603,b11_sample_10,3,30,16,0.0005,0.2,0.0001,"(16, 32)",32,0.5,0.1,0.02
stagebalanced,N2b,2026,b11_sample_11,-0.067535211168326,23,0.5696969696969697,0.5555555555555555,0.9090909090909091,1.0,0.2082992299244954,0.6794117647058824,0.48330285648008126,b11_sample_11,6,60,8,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
stagebalanced,N2b,2026,b11_sample_12,-0.11869741668484746,22,0.47160493827160493,0.47222222222222215,0.8148148148148148,0.9166666666666666,0.16856935853138566,0.7701754385964912,0.7148493527791961,b11_sample_12,5,60,8,0.0005,0.3,0.0001,"(32, 32)",16,0.5,0.1,0.02
stagebalanced,N2b,2026,b11_sample_13,-0.03769480749155302,4,0.6132478632478632,0.6388888888888888,0.9166666666666666,0.9166666666666666,0.03916130028665066,0.5596491228070175,0.478973003875773,b11_sample_13,5,20,8,0.0005,0.1,0.0001,"(32, 32)",16,0.1,0.05,0.02
stagebalanced,N2b,2026,b11_sample_14,0.6196073945004945,6,0.7504025764895331,0.8444444444444444,0.6956521739130436,0.5333333333333333,0.12653598934412003,0.8330769230769232,0.7909724930843256,b11_sample_14,3,30,8,0.001,0.3,0.0001,"(16, 32)",32,0.5,0.2,0.02
stagebalanced,N3b,2026,b11_tiny_L3_k20,0.4522865651505785,20,0.6116704805491991,0.6342592592592592,0.5263157894736842,0.625,0.510525163462132,0.6205645161290323,0.6116157653300154,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
