Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,63,0.725877192982456,0.6507047882969607,0.5913335057641147,0.7427629855958097,0.6180178735309579,0.7642621404997643,0.8411201899573992,0.080103359173126,0.07877645086947346,1.0,0.0,0.0162433857310854,0.14300081955050847,0.16720325867746244,0.4197445741393566,0.8696374072054891
PHM2010,B9_DC_PHSR,64,0.8344298245614034,0.8380359009861004,0.8370582535339718,0.7618837893901955,0.9151656600341336,0.9210662525879917,0.670055361915827,0.21171012450082052,0.11823451358334976,0.3333333333333333,0.0,0.0181824879302494,0.11850926792602996,0.13931455568348047,0.6409539440396869,0.9371732715604075
PHM2010,B9_DC_PHSR,65,0.8223684210526315,0.8260121086888681,0.8463539220631634,0.7432183105684401,0.8884640934350007,0.9088950752303308,0.6468693852414783,0.19103828987549773,0.1620923248830212,1.0,0.3333333333333333,0.021858870924937133,0.1337380574880025,0.16414165375749865,0.4863240884503261,0.8123195360652904
PHM2010,B9_DC_PHSR,66,0.8640350877192983,0.8686633545172584,0.8787858049153544,0.8084373439932175,0.9187669146432033,0.9310649935649935,0.7350579966859035,0.14922480620154924,0.11571719711254497,0.3333333333333333,0.0,0.020424698355561235,0.12056736573763338,0.1436630869195244,0.6155141503681247,0.917804562276423
PHM2010,B9_DC_PHSR,67,0.836622807017544,0.8399727894585866,0.8334523411730616,0.7578898548298794,0.9285761723728188,0.9338492180102524,0.6729107543061031,0.2242189335212574,0.10287031217263692,0.3333333333333333,0.0,0.019370911524613534,0.13591016963577318,0.15787210284373468,0.5179161096787932,0.9394413490525089
PHM2010,B9_DC_PHSR,68,0.8508771929824562,0.8561273745122483,0.8367151690590034,0.7926177118599028,0.9390492426178391,0.9139686019653134,0.717511380302078,0.21670190274841272,0.06578671694950707,0.3333333333333333,0.0,0.016647138322561834,0.10999744749117242,0.1320773002987505,0.6762815133629513,0.877817596181852
PHM2010,B9_DC_PHSR,69,0.8651315789473685,0.8721710763875029,0.8869239879414298,0.8187319369727444,0.910857304248335,0.9095528455284553,0.7599946669714113,0.13154803852478167,0.10845729450380524,0.3333333333333333,0.0,0.01848743455456413,0.1187399115505605,0.1459769453752555,0.6058820459024928,0.8871704452879825
PHM2010,B9_DC_PHSR,70,0.8859649122807017,0.890791649167388,0.8664475192081323,0.8447724460033458,0.9611549822906857,0.9265383789634049,0.7890945914201728,0.1598543575287749,0.05105105105105057,0.6666666666666666,0.0,0.0184954053301093,0.10984503044595813,0.13004296452227013,0.6861683656219179,0.972694610599151
PHM2010,B9_DC_PHSR,71,0.8519736842105262,0.8561023787287992,0.8349299783860484,0.7911761752337915,0.9422009825665576,0.9241020361473348,0.7184748173120266,0.21182757810664624,0.0696976045813249,0.3333333333333333,0.0,0.01750428847770327,0.13382035252677457,0.16698658283160675,0.40316842994718766,0.26290647914972043
PHM2010,B9_DC_PHSR,72,0.7028508771929824,0.6293337382289065,0.6069432072815669,0.7056935026288832,0.5753645047762695,0.7528382213812677,0.7827362245966897,0.05943152454780313,0.15783225085550537,0.6666666666666666,0.0,0.015811284494821266,0.15406480789627822,0.17928384509898823,0.33272964064507077,0.0476617706190291
